"Year","Live births","Deaths","Natural increase","Intermunicipal migration","Immigration to Finland","Emigration from Finland","Net migration","Marriages","Divorces","Total change","Population"
"1970",64559,44119,20440,218979,16824,53205,-36381,40730,6044,-15941,4598336
"1971",61067,45876,15191,220199,18338,17665,673,37925,7175,27576,4625912
"1972",58864,43958,14906,234818,17421,11951,5470,35467,8254,27489,4653401
"1973",56787,43410,13377,246168,16491,10309,6182,34883,8831,25360,4678761
"1974",62472,44676,17796,276034,13311,12027,1284,34533,10019,23626,4702387
"1975",65719,43828,21891,239599,8307,12237,-3930,31547,9358,18105,4720492
"1976",66846,44786,22060,208946,7387,17346,-9959,32004,10125,10344,4730836
"1977",65659,44065,21594,188687,7580,18209,-10629,30966,10107,16131,4746967
"1978",63983,43692,20291,180804,7184,16327,-9143,29760,10369,11121,4758088
"1979",63428,43738,19690,191774,10122,16661,-6539,29277,10191,13204,4771292
"1980",63064,44398,18666,197626,13626,14824,-1198,29388,9464,16486,4787778
"1981",63469,44404,19065,193847,15771,10042,5729,30100,9497,24372,4812150
"1982",66106,43408,22698,190419,14661,7403,7258,30459,9705,29565,4841715
"1983",66892,45388,21504,196070,13629,6822,6807,29474,9770,28143,4869858
"1984",65076,45098,19978,189159,11686,7467,4219,28550,9652,23890,4893748
"1985",62796,48198,14598,198910,10465,7739,2726,25751,9064,16916,4910664
"1986",60632,47135,13497,186244,9927,8269,1658,25820,9742,14980,4925644
"1987",59827,47949,11878,201306,9142,8475,667,26259,10110,12958,4938602
"1988",63316,49063,14253,213510,9720,8447,1273,25933,12146,15757,4954359
"1989",63348,49110,14238,208639,11219,7374,3845,24569,14365,20024,4974383
"1990",65549,50058,15491,193845,13558,6477,7081,25815,13170,24095,4998478
"1991",65395,49294,16101,183479,19001,5984,13017,25627,12868,30524,5029002
"1992",66731,49844,16887,177141,14554,6055,8499,24542,13007,25980,5054982
"1993",64826,50988,13838,181333,14795,6405,8390,25613,12808,22930,5077912
"1994",65231,48000,17231,217776,11611,8672,2939,25929,13810,20842,5098754
"1995",63067,49280,13787,215971,12222,8957,3265,24850,14098,18072,5116826
"1996",60723,49167,11556,236460,13294,10587,2707,25777,13881,15494,5132320
"1997",59329,49108,10221,239115,13564,9854,3710,24966,13589,15029,5147349
"1998",57108,49262,7846,256090,14192,10817,3375,25605,13930,12297,5159646
"1999",57574,49345,8229,259652,14744,11966,2778,26003,14140,11656,5171302
"2000",56742,49339,7403,260047,16895,14311,2584,27751,14096,9813,5181115
"2001",56189,48550,7639,281975,18955,13153,5802,26506,13814,13786,5194901
"2002",55555,49418,6137,273026,18112,12891,5221,28518,13561,11394,5206295
"2003",56630,48996,7634,272343,17838,12083,5755,26931,13724,13437,5219732
"2004",57758,47600,10158,281976,20333,13656,6677,30844,13476,16879,5236611
"2005",57745,47928,9817,290149,21355,12369,8986,30974,13628,18969,5255580
"2006",58840,48065,10775,286522,22451,12107,10344,29946,13470,21375,5276955
"2007",58729,49077,9652,293204,26029,12443,13586,31420,13451,23529,5300484
"2008",59530,49094,10436,269792,29114,13657,15457,32947,13709,25830,5326314
"2009",60430,49883,10547,264144,26699,12151,14548,31975,13727,25113,5351427
"2010",60980,50887,10093,270688,25636,11905,13731,31925,13807,23849,5375276
"2011",59961,50585,9376,281537,29481,12660,16821,30557,13681,25991,5401267
"2012",59493,51707,7786,275967,31278,13845,17433,31008,13251,25407,5426674
"2013",58134,51472,6662,267194,31941,13893,18048,27238,13989,24596,5451270
"2014",57232,52186,5046,268909,31507,15486,16021,26551,13915,20483,5471753
"2015",55472,52492,2980,280484,28746,16305,12441,26735,14170,15555,5487308
"2016",52814,53923,-1109,282257,34905,18082,16823,26503,13775,15989,5503297
"2017",50321,53722,-3401,287839,31797,16973,14824,26542,13485,9833,5513130
"2018",47577,54527,-6950,288443,31106,19141,11965,23799,13145,4789,5517919
"2019",45613,53949,-8336,286700,32758,17263,15495,22296,13365,7373,5525292
"2020",46463,55488,-9025,296852,32898,15084,17814,22082,13478,8501,5533793
"2021",49594,57659,-8065,303935,36364,13459,22905,19579,12166,14448,5548241
"2022",44951,63219,-18268,295710,49998,15635,34363,21942,11370,15729,5563970
"2023",43383,61339,-17956,286968,73236,15322,57914,20693,11475,39881,5603851
"2024",43720,58267,-14547,288939,63965,16914,47051,21420,11869,32120,5635971
